Filename,Filepath,Flower,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
1055.jpg,Flavia_dataset\pubescent bamboo\1055.jpg,pubescent bamboo,Train,Test,Train,Train,Train,Train,Valid,Train,Train,Train
1056.jpg,Flavia_dataset\pubescent bamboo\1056.jpg,pubescent bamboo,Train,Train,Valid,Test,Train,Train,Train,Train,Train,Train
1057.jpg,Flavia_dataset\pubescent bamboo\1057.jpg,pubescent bamboo,Valid,Train,Train,Train,Train,Train,Train,Train,Test,Train
1058.jpg,Flavia_dataset\pubescent bamboo\1058.jpg,pubescent bamboo,Train,Train,Train,Train,Train,Test,Train,Train,Valid,Train
1059.jpg,Flavia_dataset\pubescent bamboo\1059.jpg,pubescent bamboo,Train,Train,Train,Train,Test,Train,Train,Valid,Train,Train
1060.jpg,Flavia_dataset\Chinese horse chestnut\1060.jpg,Chinese horse chestnut,Train,Train,Test,Train,Train,Valid,Train,Train,Train,Train
1061.jpg,Flavia_dataset\Chinese horse chestnut\1061.jpg,Chinese horse chestnut,Train,Train,Valid,Train,Train,Train,Train,Test,Train,Train
1062.jpg,Flavia_dataset\Chinese horse chestnut\1062.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Train,Train,Test,Train,Train,Train
1063.jpg,Flavia_dataset\Chinese horse chestnut\1063.jpg,Chinese horse chestnut,Train,Train,Train,Train,Valid,Test,Train,Train,Train,Train
1064.jpg,Flavia_dataset\Chinese horse chestnut\1064.jpg,Chinese horse chestnut,Train,Train,Test,Train,Train,Train,Train,Train,Valid,Train
1065.jpg,Flavia_dataset\Chinese horse chestnut\1065.jpg,Chinese horse chestnut,Train,Train,Train,Train,Test,Train,Valid,Train,Train,Train
1066.jpg,Flavia_dataset\Chinese horse chestnut\1066.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Train,Train,Valid,Test,Train
1067.jpg,Flavia_dataset\Chinese horse chestnut\1067.jpg,Chinese horse chestnut,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Test
1068.jpg,Flavia_dataset\Chinese horse chestnut\1068.jpg,Chinese horse chestnut,Train,Train,Train,Test,Train,Train,Train,Train,Train,Valid
1069.jpg,Flavia_dataset\Chinese horse chestnut\1069.jpg,Chinese horse chestnut,Test,Train,Train,Valid,Train,Train,Train,Train,Train,Train
1070.jpg,Flavia_dataset\Chinese horse chestnut\1070.jpg,Chinese horse chestnut,Train,Test,Train,Train,Train,Valid,Train,Train,Train,Train
1071.jpg,Flavia_dataset\Chinese horse chestnut\1071.jpg,Chinese horse chestnut,Test,Train,Train,Train,Train,Train,Train,Valid,Train,Train
1072.jpg,Flavia_dataset\Chinese horse chestnut\1072.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Valid,Test,Train,Train,Train
1073.jpg,Flavia_dataset\Chinese horse chestnut\1073.jpg,Chinese horse chestnut,Train,Train,Test,Train,Valid,Train,Train,Train,Train,Train
1074.jpg,Flavia_dataset\Chinese horse chestnut\1074.jpg,Chinese horse chestnut,Train,Test,Train,Train,Train,Train,Train,Train,Valid,Train
1075.jpg,Flavia_dataset\Chinese horse chestnut\1075.jpg,Chinese horse chestnut,Train,Train,Valid,Train,Train,Test,Train,Train,Train,Train
1076.jpg,Flavia_dataset\Chinese horse chestnut\1076.jpg,Chinese horse chestnut,Train,Train,Train,Test,Train,Train,Valid,Train,Train,Train
1077.jpg,Flavia_dataset\Chinese horse chestnut\1077.jpg,Chinese horse chestnut,Train,Train,Train,Train,Test,Train,Train,Train,Train,Valid
1078.jpg,Flavia_dataset\Chinese horse chestnut\1078.jpg,Chinese horse chestnut,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Test
1079.jpg,Flavia_dataset\Chinese horse chestnut\1079.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Train,Train,Train,Test,Train,Train
1080.jpg,Flavia_dataset\Chinese horse chestnut\1080.jpg,Chinese horse chestnut,Valid,Train,Train,Train,Train,Train,Train,Train,Test,Train
1081.jpg,Flavia_dataset\Chinese horse chestnut\1081.jpg,Chinese horse chestnut,Test,Train,Train,Train,Train,Train,Valid,Train,Train,Train
1082.jpg,Flavia_dataset\Chinese horse chestnut\1082.jpg,Chinese horse chestnut,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Test
1083.jpg,Flavia_dataset\Chinese horse chestnut\1083.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Valid,Train,Test,Train,Train
1084.jpg,Flavia_dataset\Chinese horse chestnut\1084.jpg,Chinese horse chestnut,Train,Train,Train,Train,Valid,Train,Test,Train,Train,Train
1085.jpg,Flavia_dataset\Chinese horse chestnut\1085.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Train,Train,Valid,Test,Train
1086.jpg,Flavia_dataset\Chinese horse chestnut\1086.jpg,Chinese horse chestnut,Train,Train,Train,Test,Train,Train,Train,Train,Valid,Train
1087.jpg,Flavia_dataset\Chinese horse chestnut\1087.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Test,Train,Train,Train,Train,Train
1088.jpg,Flavia_dataset\Chinese horse chestnut\1088.jpg,Chinese horse chestnut,Train,Train,Valid,Train,Train,Test,Train,Train,Train,Train
1089.jpg,Flavia_dataset\Chinese horse chestnut\1089.jpg,Chinese horse chestnut,Valid,Test,Train,Train,Train,Train,Train,Train,Train,Train
1090.jpg,Flavia_dataset\Chinese horse chestnut\1090.jpg,Chinese horse chestnut,Train,Train,Test,Train,Train,Train,Train,Train,Train,Valid
1091.jpg,Flavia_dataset\Chinese horse chestnut\1091.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Train,Train,Test,Train,Train,Train
1092.jpg,Flavia_dataset\Chinese horse chestnut\1092.jpg,Chinese horse chestnut,Train,Train,Train,Valid,Train,Train,Train,Train,Test,Train
1093.jpg,Flavia_dataset\Chinese horse chestnut\1093.jpg,Chinese horse chestnut,Train,Test,Train,Train,Train,Train,Train,Train,Train,Valid
1094.jpg,Flavia_dataset\Chinese horse chestnut\1094.jpg,Chinese horse chestnut,Valid,Train,Test,Train,Train,Train,Train,Train,Train,Train
1095.jpg,Flavia_dataset\Chinese horse chestnut\1095.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Test,Valid,Train,Train,Train
1096.jpg,Flavia_dataset\Chinese horse chestnut\1096.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Test
1097.jpg,Flavia_dataset\Chinese horse chestnut\1097.jpg,Chinese horse chestnut,Train,Train,Valid,Train,Train,Train,Train,Test,Train,Train
1098.jpg,Flavia_dataset\Chinese horse chestnut\1098.jpg,Chinese horse chestnut,Train,Train,Train,Train,Test,Train,Train,Valid,Train,Train
1099.jpg,Flavia_dataset\Chinese horse chestnut\1099.jpg,Chinese horse chestnut,Train,Train,Train,Test,Valid,Train,Train,Train,Train,Train
1100.jpg,Flavia_dataset\Chinese horse chestnut\1100.jpg,Chinese horse chestnut,Test,Train,Train,Train,Train,Train,Train,Train,Valid,Train
1101.jpg,Flavia_dataset\Chinese horse chestnut\1101.jpg,Chinese horse chestnut,Train,Train,Train,Test,Train,Train,Valid,Train,Train,Train
1102.jpg,Flavia_dataset\Chinese horse chestnut\1102.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Test
1103.jpg,Flavia_dataset\Chinese horse chestnut\1103.jpg,Chinese horse chestnut,Valid,Train,Train,Train,Train,Test,Train,Train,Train,Train
1104.jpg,Flavia_dataset\Chinese horse chestnut\1104.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Train,Test,Train,Train,Valid
1105.jpg,Flavia_dataset\Chinese horse chestnut\1105.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Train,Train,Train,Train,Test,Train
1106.jpg,Flavia_dataset\Chinese horse chestnut\1106.jpg,Chinese horse chestnut,Train,Train,Train,Valid,Test,Train,Train,Train,Train,Train
1107.jpg,Flavia_dataset\Chinese horse chestnut\1107.jpg,Chinese horse chestnut,Test,Train,Valid,Train,Train,Train,Train,Train,Train,Train
1108.jpg,Flavia_dataset\Chinese horse chestnut\1108.jpg,Chinese horse chestnut,Train,Train,Test,Train,Valid,Train,Train,Train,Train,Train
1109.jpg,Flavia_dataset\Chinese horse chestnut\1109.jpg,Chinese horse chestnut,Train,Test,Train,Train,Train,Train,Train,Train,Valid,Train
1110.jpg,Flavia_dataset\Chinese horse chestnut\1110.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Valid,Train,Test,Train,Train
1111.jpg,Flavia_dataset\Chinese horse chestnut\1111.jpg,Chinese horse chestnut,Train,Train,Train,Train,Train,Train,Valid,Test,Train,Train
1112.jpg,Flavia_dataset\Chinese horse chestnut\1112.jpg,Chinese horse chestnut,Valid,Train,Train,Train,Train,Train,Train,Train,Test,Train
1113.jpg,Flavia_dataset\Chinese horse chestnut\1113.jpg,Chinese horse chestnut,Train,Train,Train,Test,Train,Train,Train,Train,Valid,Train
1114.jpg,Flavia_dataset\Chinese horse chestnut\1114.jpg,Chinese horse chestnut,Train,Train,Train,Train,Test,Valid,Train,Train,Train,Train
1115.jpg,Flavia_dataset\Chinese horse chestnut\1115.jpg,Chinese horse chestnut,Train,Valid,Train,Train,Train,Test,Train,Train,Train,Train
1116.jpg,Flavia_dataset\Chinese horse chestnut\1116.jpg,Chinese horse chestnut,Train,Train,Test,Train,Train,Train,Train,Train,Train,Valid
1117.jpg,Flavia_dataset\Chinese horse chestnut\1117.jpg,Chinese horse chestnut,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Test
1118.jpg,Flavia_dataset\Chinese horse chestnut\1118.jpg,Chinese horse chestnut,Train,Test,Valid,Train,Train,Train,Train,Train,Train,Train
1119.jpg,Flavia_dataset\Chinese horse chestnut\1119.jpg,Chinese horse chestnut,Test,Train,Train,Train,Train,Train,Train,Valid,Train,Train
1120.jpg,Flavia_dataset\Chinese horse chestnut\1120.jpg,Chinese horse chestnut,Train,Train,Train,Valid,Train,Train,Test,Train,Train,Train
1121.jpg,Flavia_dataset\Chinese horse chestnut\1121.jpg,Chinese horse chestnut,Train,Train,Valid,Train,Train,Train,Train,Test,Train,Train
1122.jpg,Flavia_dataset\Chinese horse chestnut\1122.jpg,Chinese horse chestnut,Train,Train,Test,Valid,Train,Train,Train,Train,Train,Train
1123.jpg,Flavia_dataset\Chinese redbud\1123.jpg,Chinese redbud,Train,Test,Train,Train,Valid,Train,Train,Train,Train,Train
1124.jpg,Flavia_dataset\Chinese redbud\1124.jpg,Chinese redbud,Test,Train,Train,Train,Train,Valid,Train,Train,Train,Train
1125.jpg,Flavia_dataset\Chinese redbud\1125.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Train,Train,Valid
1126.jpg,Flavia_dataset\Chinese redbud\1126.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Train,Valid,Train,Test
1127.jpg,Flavia_dataset\Chinese redbud\1127.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Train,Train,Test,Train
1128.jpg,Flavia_dataset\Chinese redbud\1128.jpg,Chinese redbud,Valid,Train,Train,Train,Train,Train,Test,Train,Train,Train
1129.jpg,Flavia_dataset\Chinese redbud\1129.jpg,Chinese redbud,Train,Train,Train,Test,Train,Train,Train,Train,Valid,Train
1130.jpg,Flavia_dataset\Chinese redbud\1130.jpg,Chinese redbud,Train,Train,Train,Train,Test,Train,Valid,Train,Train,Train
1131.jpg,Flavia_dataset\Chinese redbud\1131.jpg,Chinese redbud,Train,Train,Valid,Test,Train,Train,Train,Train,Train,Train
1132.jpg,Flavia_dataset\Chinese redbud\1132.jpg,Chinese redbud,Train,Test,Train,Train,Train,Train,Train,Train,Valid,Train
1133.jpg,Flavia_dataset\Chinese redbud\1133.jpg,Chinese redbud,Train,Train,Test,Valid,Train,Train,Train,Train,Train,Train
1134.jpg,Flavia_dataset\Chinese redbud\1134.jpg,Chinese redbud,Valid,Train,Train,Train,Test,Train,Train,Train,Train,Train
1135.jpg,Flavia_dataset\Chinese redbud\1135.jpg,Chinese redbud,Test,Train,Train,Train,Valid,Train,Train,Train,Train,Train
1136.jpg,Flavia_dataset\Chinese redbud\1136.jpg,Chinese redbud,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Test
1137.jpg,Flavia_dataset\Chinese redbud\1137.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Valid,Train,Train
1138.jpg,Flavia_dataset\Chinese redbud\1138.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Train,Test,Train,Train
1139.jpg,Flavia_dataset\Chinese redbud\1139.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Test,Train,Train,Valid
1140.jpg,Flavia_dataset\Chinese redbud\1140.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Valid,Train,Test,Train
1141.jpg,Flavia_dataset\Chinese redbud\1141.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Valid,Train,Train
1142.jpg,Flavia_dataset\Chinese redbud\1142.jpg,Chinese redbud,Train,Test,Train,Train,Train,Valid,Train,Train,Train,Train
1143.jpg,Flavia_dataset\Chinese redbud\1143.jpg,Chinese redbud,Train,Train,Train,Valid,Train,Train,Train,Train,Train,Test
1144.jpg,Flavia_dataset\Chinese redbud\1144.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Valid,Test,Train,Train
1145.jpg,Flavia_dataset\Chinese redbud\1145.jpg,Chinese redbud,Valid,Train,Train,Test,Train,Train,Train,Train,Train,Train
1146.jpg,Flavia_dataset\Chinese redbud\1146.jpg,Chinese redbud,Test,Train,Train,Train,Train,Train,Train,Train,Train,Valid
1147.jpg,Flavia_dataset\Chinese redbud\1147.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Test,Train,Valid,Train
1148.jpg,Flavia_dataset\Chinese redbud\1148.jpg,Chinese redbud,Train,Train,Valid,Train,Test,Train,Train,Train,Train,Train
1149.jpg,Flavia_dataset\Chinese redbud\1149.jpg,Chinese redbud,Train,Train,Train,Train,Valid,Train,Train,Train,Test,Train
1150.jpg,Flavia_dataset\Chinese redbud\1150.jpg,Chinese redbud,Train,Valid,Test,Train,Train,Train,Train,Train,Train,Train
1151.jpg,Flavia_dataset\Chinese redbud\1151.jpg,Chinese redbud,Valid,Train,Train,Train,Train,Train,Train,Train,Test,Train
1152.jpg,Flavia_dataset\Chinese redbud\1152.jpg,Chinese redbud,Test,Train,Train,Train,Train,Train,Train,Train,Valid,Train
1153.jpg,Flavia_dataset\Chinese redbud\1153.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Test,Train,Train,Train
1154.jpg,Flavia_dataset\Chinese redbud\1154.jpg,Chinese redbud,Train,Train,Train,Train,Valid,Train,Train,Train,Train,Test
1155.jpg,Flavia_dataset\Chinese redbud\1155.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Train,Train,Valid
1156.jpg,Flavia_dataset\Chinese redbud\1156.jpg,Chinese redbud,Train,Train,Train,Test,Train,Train,Train,Valid,Train,Train
1157.jpg,Flavia_dataset\Chinese redbud\1157.jpg,Chinese redbud,Train,Train,Train,Valid,Test,Train,Train,Train,Train,Train
1158.jpg,Flavia_dataset\Chinese redbud\1158.jpg,Chinese redbud,Train,Train,Valid,Train,Train,Train,Train,Test,Train,Train
1159.jpg,Flavia_dataset\Chinese redbud\1159.jpg,Chinese redbud,Train,Test,Train,Train,Train,Valid,Train,Train,Train,Train
1160.jpg,Flavia_dataset\Chinese redbud\1160.jpg,Chinese redbud,Train,Train,Test,Train,Train,Train,Valid,Train,Train,Train
1161.jpg,Flavia_dataset\Chinese redbud\1161.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Train,Train,Valid
1162.jpg,Flavia_dataset\Chinese redbud\1162.jpg,Chinese redbud,Train,Train,Train,Train,Train,Valid,Train,Train,Train,Test
1163.jpg,Flavia_dataset\Chinese redbud\1163.jpg,Chinese redbud,Train,Train,Train,Valid,Train,Train,Train,Test,Train,Train
1164.jpg,Flavia_dataset\Chinese redbud\1164.jpg,Chinese redbud,Train,Train,Test,Train,Train,Train,Train,Valid,Train,Train
1165.jpg,Flavia_dataset\Chinese redbud\1165.jpg,Chinese redbud,Valid,Test,Train,Train,Train,Train,Train,Train,Train,Train
1166.jpg,Flavia_dataset\Chinese redbud\1166.jpg,Chinese redbud,Train,Train,Train,Train,Test,Train,Train,Train,Valid,Train
1167.jpg,Flavia_dataset\Chinese redbud\1167.jpg,Chinese redbud,Test,Train,Valid,Train,Train,Train,Train,Train,Train,Train
1168.jpg,Flavia_dataset\Chinese redbud\1168.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Test,Train,Train,Train
1169.jpg,Flavia_dataset\Chinese redbud\1169.jpg,Chinese redbud,Train,Train,Train,Test,Valid,Train,Train,Train,Train,Train
1170.jpg,Flavia_dataset\Chinese redbud\1170.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Valid,Train,Test,Train
1171.jpg,Flavia_dataset\Chinese redbud\1171.jpg,Chinese redbud,Train,Train,Valid,Train,Train,Train,Test,Train,Train,Train
1172.jpg,Flavia_dataset\Chinese redbud\1172.jpg,Chinese redbud,Test,Train,Train,Train,Train,Train,Train,Train,Valid,Train
1173.jpg,Flavia_dataset\Chinese redbud\1173.jpg,Chinese redbud,Train,Train,Train,Train,Test,Valid,Train,Train,Train,Train
1174.jpg,Flavia_dataset\Chinese redbud\1174.jpg,Chinese redbud,Valid,Train,Train,Train,Train,Train,Train,Train,Train,Test
1175.jpg,Flavia_dataset\Chinese redbud\1175.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Train,Test,Train,Train
1176.jpg,Flavia_dataset\Chinese redbud\1176.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Train,Train,Test,Valid
1177.jpg,Flavia_dataset\Chinese redbud\1177.jpg,Chinese redbud,Train,Train,Train,Test,Train,Train,Valid,Train,Train,Train
1178.jpg,Flavia_dataset\Chinese redbud\1178.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Valid,Train,Train
1179.jpg,Flavia_dataset\Chinese redbud\1179.jpg,Chinese redbud,Train,Test,Train,Valid,Train,Train,Train,Train,Train,Train
1180.jpg,Flavia_dataset\Chinese redbud\1180.jpg,Chinese redbud,Train,Train,Test,Train,Valid,Train,Train,Train,Train,Train
1181.jpg,Flavia_dataset\Chinese redbud\1181.jpg,Chinese redbud,Train,Train,Train,Train,Train,Test,Train,Train,Train,Valid
1182.jpg,Flavia_dataset\Chinese redbud\1182.jpg,Chinese redbud,Train,Train,Test,Train,Train,Train,Valid,Train,Train,Train
1183.jpg,Flavia_dataset\Chinese redbud\1183.jpg,Chinese redbud,Train,Train,Train,Valid,Train,Train,Test,Train,Train,Train
1184.jpg,Flavia_dataset\Chinese redbud\1184.jpg,Chinese redbud,Train,Train,Train,Test,Valid,Train,Train,Train,Train,Train
1185.jpg,Flavia_dataset\Chinese redbud\1185.jpg,Chinese redbud,Valid,Test,Train,Train,Train,Train,Train,Train,Train,Train
1186.jpg,Flavia_dataset\Chinese redbud\1186.jpg,Chinese redbud,Test,Train,Train,Train,Train,Train,Train,Valid,Train,Train
1187.jpg,Flavia_dataset\Chinese redbud\1187.jpg,Chinese redbud,Train,Valid,Train,Train,Train,Train,Train,Train,Train,Test
1188.jpg,Flavia_dataset\Chinese redbud\1188.jpg,Chinese redbud,Train,Train,Train,Train,Train,Valid,Train,Train,Test,Train
1189.jpg,Flavia_dataset\Chinese redbud\1189.jpg,Chinese redbud,Train,Train,Valid,Train,Test,Train,Train,Train,Train,Train
1190.jpg,Flavia_dataset\Chinese redbud\1190.jpg,Chinese redbud,Train,Train,Train,Train,Train,Train,Train,Test,Valid,Train
